q_i,a_i,dataset
What was the failure of rAd5 vaccine for inducing HIV-1 specific T cell response?,"The failure of the rAd5 vaccine for inducing HIV-1 specific T cell response was thought to be due to the insufficient magnitude, functionality, or breadth of the vaccine-induced cellular immune responses, as well as the presence of preexisting immunity against the vector.",covidqa
How long did it take to publish the full genomic sequence of SARS-CoV-2 after it was identified?,The full genomic sequence of SARS-CoV-2 was published less than 2 weeks after the cluster was first detected.,covidqa
What can happen  in response to the infection such as neutrophils?,"In response to infection, neutrophils can help to resolve tissue damage, form a defense against bacteria through phagocytosis and release of antimicrobial molecules, but they can also contribute to collateral organ damage of the host when released into tissues and enhance susceptibility to post-traumatic infections. Additionally, disrupted protective barriers in combination with the presence of immunosuppressive and less responsive neutrophils can further enhance the susceptibility to post-traumatic infections.",covidqa
What nucleoside analog is the focus of the current study?,The nucleoside analog that is the focus of the current study is AT-527.,covidqa
What do the S1 and S2 subunits of spike glycoprotein contain?,"The S1 subunit contains a signal peptide, followed by an N-terminal domain and receptor-binding domain, while the S2 subunit contains conserved fusion peptide, heptad repeat 1 and 2, transmembrane domain, and cytoplasmic domain.",covidqa
Which Lactobacililus casei strain does not have the cholera toxin subunit A1 (CTA1) on the surface?,The Lactobacillus casei strain without the cholera toxin subunit A1 (CTA1) on the surface is the one with the pgsA-expressing vector.,covidqa
What's the recommended method to disinfect floors for COVID-19?,"The recommended method to disinfect floors for COVID-19 is to wipe twice with 75% ethanol for non-corrosion resistance, and in addition to that, disinfect the examination bed and ground with chlorinated disinfectant.",covidqa
When did China introduce strict movement restrictions and other measures including case isolation and quarantine?,China introduced strict movement restrictions and other measures including case isolation and quarantine during the Pandemic (H1N1) 2009 outbreak.,covidqa
What is the cause of Feline Infectious Peritonitis (FIP)?,"The cause of Feline Infectious Peritonitis (FIP) is the exposure of cats to variants of Feline Coronavirus (FCoV) which have been mutated, according to the internal mutation theory.",covidqa
What did the finding prompt ECDC to do?,"The finding prompted ECDC to coordinate several systems and platforms to address public health threats and emergencies in the EU, including the network of the Early Warning and Response system.",covidqa
What is the population-averaged infection fatality ratio?,The population-averaged infection fatality ratio is the infection fatality ratio adjusted for the age structure and contact patterns of the population.,covidqa
What is the premise for apathogenic forms to  blunt any pathological response in the host?,The premise for apathogenic forms to blunt any pathological response in the host is that they tend to induce an earlier innate response that would render it more likely that the virus would.,covidqa
What was attributed to the spread of SARS-COV at Amoy Gardens?,"The spread of SARS-CoV at Amoy Gardens was attributed to faecal-oral, then airborne, spread through pressure differentials between contaminated effluent pipes, bathroom floor drains, and flushing toilets.",covidqa
What should mildly-ill patients do?,"Mildly ill patients with COVID-19 should isolate at home during their illness, follow CDC guidance on reducing the risk of spreading the illness to others, and use a nasal catheter and a mask for oxygen if necessary.",covidqa
What is the advantage of the VEE replicon system?,"The advantage of the VEE replicon system is that it targets antigen-presenting cells in the lymphatic tissues, priming rapid and robust immune responses. It can also induce robust mucosal immune responses through intranasal or subcutaneous immunization and has been shown to be immunogenic and well-tolerated in clinical trials.",covidqa
What  does the analysis show on the difference between locally acquired cases vs imported cases?,"The analysis shows that locally acquired cases could have both infected others and been infected themselves, while imported cases could only infect others, as their infection was assumed to be acquired outside of the country.",covidqa
What is the effect of Glycyrrhizin in viral infections?,"Glycyrrhizin has antioxidative, antiviral, and immunomodulatory effects in viral infections. It has been shown to inhibit virus replication, reduce pro-inflammatory gene expression, and exert antiviral effects when continuously present, especially when added during the virus adsorption period. It has also been suggested to have the potential to complement the arsenal of potential drugs for the treatment of viral infections.",covidqa
How long is the SAIBK gene?,"The complete genome of the SAIBK strain is 27,534 nucleotides in length.",covidqa
What enzymes have been reported to be linked with severity of infection and various pathological conditions caused by microorganisms?,Proteases have been reported to be linked with severity of infection and various pathological conditions caused by microorganisms.,covidqa
What is the foremost authority on minimum standards for humanitarian assistance?,The Sphere Handbook is the foremost authority on minimum standards for humanitarian assistance.,covidqa
What is  NPA?,NPA stands for Negative Percent Agreement.,covidqa
Which group of RNA quasispecies satisfy criteria for life?,"The group of RNA quasispecies that satisfy criteria for life are ribozymes, which are catalytic RNAs closely related to viroids. This is mentioned in the passage ""There are elements with zero genes that fulfill many criteria for early life: ribozymes, catalytic RNAs closely related to viroids.""",covidqa
What makes filamentous phage ideal scaffold for bioconjugation?,"The regularity and diversity of chemically addressable groups on the filamentous phage pVIII lattice make it an ideal scaffold for bioconjugation. This includes the presence of two primary amine groups, three carboxyl groups, and two hydroxyl groups on each monomer, allowing for bioorthogonal conjugation.",covidqa
What is mobile  population in Wuhan?,The mobile population in Wuhan is about 2.87 million.,covidqa
What serious question was raised?,"The serious question raised was about why people's psychological status, housing infrastructure, and lack of clean water were not taken into account during the avian influenza outbreak in Turkey.",covidqa
What is the incubation period of MERS?,"The estimated incubation period of MERS (Middle East Respiratory Syndrome) ranges from 2 to 17 days, with a mean of 5-6 days and a median of 7 days.",covidqa
"What does the microscopic examination of the lung reveal, as with human HCPS?","The microscopic examination of the lung reveals diffused alveolar damage, intraalveolar edema, focal intra-alveolar hemorrhage, necrosis of alveolar line cells, focal desquamation of pneumocytes in alveolar spaces, interstitial mononuclear inflammatory cell infiltrates, and extensive hyaline membranes. It also shows findings such as bronchopneumonia, necrotizing bronchiolitis, alveolar collapse, dilatation of the airspaces, hyaline membrane, and alveolar hemorrhage, among others.",covidqa
What is the function of neuroaminidase in the influenza virus?,Neuroaminidase (NA) in the influenza virus helps in the spreading of the virus by enabling progeny virus to be cleaved from its receptor and spread to other cells. It also facilitates the release of newly formed virus particles from infected cells by cleaving the glycosidic linkage between the neuraminic acid receptor on the host-cell surface and the glycoproteins of the virion progeny.,covidqa
What is one of  the major sources of exacerbation of chronic airway inflammatory diseases?,"One of the major sources of exacerbation of chronic airway inflammatory diseases is the presence of environmental factors such as allergens, pollutants, smoke, cold or dry air, and pathogenic microbes in the airway, as mentioned in the passage.",covidqa
Which is the source animal for the MERS-COV?,The source animal for MERS-CoV is the dromedary camel (DC).,covidqa
What are some non-pharmaceutical interventions?,"Some non-pharmaceutical interventions mentioned in the context include use of face masks, improved hand hygiene, cough etiquette, social distancing measures, travel restrictions, and intensive counselling on proper use of hygiene aids.",covidqa
"When did the White House launch the ""15 Days to Slow the Spread"" program?","The White House launched the ""15 Days to Slow the Spread"" program on March 16.",covidqa
What is the most common subgroup of HMPV?,The most common subgroup of HMPV is subgroup A2.,covidqa
Why do low levels of DC-SIGNR enhance Mother to Child Transmission of HIV-1?,"Low levels of DC-SIGNR enhance Mother to Child Transmission of HIV-1 because reduced expression of DC-SIGNR on placental capillary endothelial cells might favor HIV-1 binding to the CCR5 receptor instead of the DC-SIGNR receptor, facilitating the migration of maternal HIV-1-infected cells across the placental barrier. This results in intrauterine transmission of HIV-1.",covidqa
What proportion of healthcare workers reported symptoms of anxiety?,"A considerable proportion of participants reported symptoms of anxiety, with women reporting more severe degrees of symptoms than men.",covidqa
Which medical comorbidities most profoundly influenced MERS-CoV outcomes?,"Pre-existing medical conditions like chronic lung disease, diabetes, renal failure, and weakened immune systems most profoundly influenced MERS-CoV outcomes.",covidqa
Which bacteial delivery vectors have gained favor for vaccines?,"The bacterial delivery vectors that have gained favor for vaccines include Listeria monocytogenes, Shigella spp. and Yersinia enterolica for pathogenic bacteria and non-pathogenic bacteria such as lactic acid bacteria (LAB).",covidqa
What  is the FPA optimization algorithm inspired by?,The FPA optimization algorithm is inspired by the flow pollination process of flowering plants.,covidqa
Why is it likely that MA15 is highly attenuated to  replicate in human cells?,"The basis for the host-restriction of MVA, which is important to fully understand its attenuation, remains unknown. The large number of deletions, truncations, and mutations that occurred during the long passage history of MVA in CEF severely complicates efforts to determine those changes important for its host-range defect. Additionally, the MVA genome revealed six major deletions compared to the parent virus, and the consequent inability to efficiently produce infectious virus in most mammalian cells, suggesting that MA15 is highly attenuated to replicate in human cells.",covidqa
Respiratory viral pathogens were present in what percentage of samples?,Respiratory viral pathogens were present in approximately 47.9% of the samples.,covidqa
Who was excluded from the study?,"In the study ""Study design and protocol for investigating social network patterns in rural and urban schools and households in a coastal setting in Kenya,"" households where more than a third of the expected household members refuse to participate were to be excluded from the study.",covidqa
Has AAV been studied as  vectors for influenza?,"Yes, AAV has been studied as vectors for influenza, with limited studies evaluating AAV as a vector for influenza vaccination being performed. Studies have shown that AAV expressing the HA gene, NP gene, and M1 genes of influenza have been protective in mice, and AAV vectors have been used to deliver passive immunity to influenza. Therefore, AAV has been explored as a potential vector for influenza vaccines.",covidqa
What other tests should be considered for 2019-nCOV epidemiology?,"Other tests that should be considered for 2019-nCOV epidemiology include serum antibody titers for confirmation of infection or evidence of immunity, polymerase chain reaction assays conducted on samples from a patient's upper and lower respiratory tracts, and serological assays as well as point-of-care testing kits which are likely to be developed in the near future.",covidqa
What other viruses are implicated in acute exacerbations but to a much lesser extent?,"Other viruses implicated in acute exacerbations but to a much lesser extent include bocavirus , human metapneumovirus , certain coronavirus strains, a specific enterovirus strain EV-D68, human cytomegalovirus, and herpes simplex virus.",covidqa
What kind of pertussis vaccine is used in middle and high income countries?,"The passage does not directly specify which kind of pertussis vaccine is used in middle and high income countries. However, it does mention that the WHO recommends that countries using whole cell pertussis vaccine continue to do so, as the majority of outbreaks have been concentrated in countries using the acellular pertussis vaccine. Therefore, it can be inferred that middle and high income countries are more likely to use the whole cell pertussis vaccine.",covidqa
How does the proposed FPASSA start?,"The proposed FPASSA starts by receiving the historical COVID-19 dataset and generating a set of solutions, where each of them represents the value for the parameters of the ANFIS model. Then the quality of each solution is calculated using the fitness value, and the solution that has the best fitness value is chosen to represent the best solution. Then the probability of each solution is computed, and the current solution will be updated.",covidqa
What age group has the highest rate of severe outcomes?,"The age group with the highest rate of severe outcomes is the ≥ 65 years age group, with the highest percentage of severe outcomes occurring in people 85 years and older.",covidqa
How long MERS-CoV remained viable at high ambient temperature (30°C) and low RH (30 %) ?,MERS-CoV remained viable for 24 hours at high ambient temperature (30°C) and low RH (30%).,covidqa
How were  the spread of GFP-expressing virus-infected cells across tissue monolayers tracked via inverted fluorescence microscopy?,The spread of GFP-expressing virus-infected cells across tissue monolayers was tracked via inverted fluorescence microscopy by monitoring and re-imaging plates for up to 200 hours of observations or until total monolayer destruction. This allowed for the generation of a time series of the proportion of infectious-cell occupied plate space across the duration of each trial.,covidqa
What is the conclusion of  this report?,The conclusion of the report is not provided in the given pieces of context.,covidqa
What is a key factor in managing emerging infectious disease threats?,"A key factor in managing emerging infectious disease threats is the strengthening of surveillance and response capacities, as well as improving national managerial capacity and human resource capacity building.",covidqa
How does transmission differ between SARS-CoV and MERS-CoV?,"Transmission of SARS-CoV is more rapid between hosts, while MERS-CoV transmission is defined as sporadic, intra-familial, often healthcare associated, inefficient and requiring close and prolonged contact. Additionally, MERS-CoV has been more easily contained compared to SARS-CoV.",covidqa
What leads to oxidative stress in the body?,"Oxidative stress in the body can be caused by a wide range of reactive species produced as a result of the metabolic process, including reactive oxygen species and reactive nitrogen species. This can be magnified by the production of ROS from various cellular organelles such as mitochondria, endoplasmic reticulum, plasma membrane, and peroxisomes. Additionally, factors such as hyperglycemia, hyperlipidemia, leptin, angiotensin II, and virus-induced cytokines can also contribute to oxidative stress in the body.",covidqa
What is theorized regarding transmission?,"The passages discuss different aspects of viral transmission and the methods used to analyze and understand transmission dynamics. It is theorized that transmission is an important process underlying infectious disease dynamics, and different approaches are used to study and analyze transmission patterns in various populations. The passages also mention the use of population genetic methods and contact tracing to better understand the transmission of infectious diseases. Additionally, the importance of understanding viral transmission for disease control and evolution is emphasized.",covidqa
How can DNA arise chemically from RNA?,"DNA can arise from RNA chemically without the key protein enzyme, the reverse transcriptase. RNA molecules can become longer through heat flow across an open pore in submerged rocks, which concentrates replicating oligonucleotides from a constant feeding flow and selection for longer strands.",covidqa
What does the TIV contain?,"The TIV contains three or four inactivated viruses, including two type A strains and one or two type B strains.",covidqa
What alternatives to Ad5 vector have been explored?,"The alternatives to the Ad5 vector that have been explored include non-human adenovirus vectors from non-human primates, dogs, sheep, pigs, cows, birds, and others. Additionally, rare human, chimpanzee, or bovine adenoviruses expressing H5 HA antigens have been explored as potential alternatives.",covidqa
"What is the ""Never Event"" policy?","The given context does not provide specific information about a ""Never Event"" policy.",covidqa
When was the first reported death in France?,The first reported death in France was on 15 February.,covidqa
What percentage of all  reported cases has MERS  reportedly killed ?,MERS has reportedly killed approximately 35% of all reported cases.,covidqa
What is the contrast with SARS-COV and MERS=COV?,"The contrast between SARS-CoV and MERS-CoV includes differences in their clinical characteristics, transmission rates, and the receptors they use to gain entry to cells. Additionally, SARS-CoV causes primarily a severe respiratory syndrome, while MERS-CoV infection can also lead to kidney failure. SARS-CoV also spreads more rapidly between hosts, while MERS-CoV has been more easily contained due to its low transmission rate.",covidqa
What motivates the study of the rare B-cells that produce Broadly Neutralizing Antibodies (bnAb)?,"The study of the rare B-cells that produce Broadly Neutralizing Antibodies (bnAb) is motivated by the potential to understand their developmental pathway and ontogeny. This understanding could allow for the design of a step-wise vaccine regimen to stimulate the germ-line precursor to expand and mature, ultimately producing circulating bnAbs which could protect against infection by various viral isolates such as HIV-1 and RSV. The goal is to develop vaccines capable of eliciting antibodies that neutralize a broad spectrum of viral strains, ultimately reducing or preventing infection.",covidqa
What is the in vivo elimination half-life of AP3?,The in vivo elimination half-life of AP3 is about 2.8-fold longer than that of T20.,covidqa
What laboratory test can be used to monitor protein expression?,"The Dot Blot assay can be used to monitor protein expression. This assay involves spotting proteins directly on a membrane and hybridizing them with an antibody probe, allowing for the analysis and quantitation of protein expression.",covidqa
What is important for containing the transmission?,"Strategies such as containment, limiting contact with isolated individuals, mask wearing, ventilation, hand washing, and surface cleaning are important for containing the transmission of viruses.",covidqa
Which type of influenza causes epidemics and pandemics?,"Influenza A viruses are the type that causes both epidemics and pandemics, with the virus quickly infecting a large number of individuals in all age groups during a pandemic.",covidqa
What are the shortcomings of X-ray crystallography?,"X-ray crystallography has inherent flaws, especially evident regarding disordered protein structures, where crystallization requires mostly static structures for diffraction. Nonetheless, the X-ray beam can be homogenized with a 0.25-mm carbon plate and focused downstream from the crystal to improve image collection.",covidqa
What does immunization with adenovirus induce?,"Immunization with adenovirus induces both cellular and antibody responses, as well as innate immunity.",covidqa
What is assumed for the mean serial interval?,"The passage does not explicitly state what is assumed for the mean serial interval. However, it does mention that the observed serial interval distribution will be a biased estimate of the generation time distribution and will have a larger variance. It also discusses estimating the mean serial interval to be 3.6 days assuming certain values, and the fit using certain parameters being the best in terms of the mean likelihood. These suggest that assumptions are made in order to estimate the mean serial interval.",covidqa
What is the role of statins in increasing host resilience to viral lung infections?,"The role of statins in increasing host resilience to viral lung infections is to stabilize the activation of aspects of the innate immune response, regulate the IAV-induced cytokine storm in severe infections, protect host cells against influenza-induced inflammation, and potentially modulate acute inflammatory conditions.",covidqa
What test could give an indication for special care for 2019-nCOV patients?,The real-time PCR test for nucleic acid in respiratory or blood samples could give an indication for special care for 2019-nCoV patients.,covidqa
What inhibits S-palmitoylation?,The passage states that the phosphorylation of proteins likely inhibits S-palmitoylation by interfering with membrane interactions before palmitoylation.,covidqa
What is the status of MVA influenza vaccine?,The MVA influenza vaccine has undergone extensive safety testing and has been shown to be safe and immunogenic in humans. It has been tested in clinical trials and has shown promising results as a vaccine vector for influenza.,covidqa
How can the study of B-cells help in the prevention and treatment of autoimmune diseases?,"The study of B cell responses can help in the prevention and treatment of autoimmune diseases by providing a detailed analysis of B cell subsets with pathogenic potential in humans. This can lead to a better understanding of how to prevent and treat autoimmune diseases, as well as inform vaccine design and advance understanding of antibody-mediated autoimmune diseases such as rheumatoid arthritis and systemic lupus erythematosus. Additionally, the study of autoantigen-specific B cells can help identify potential targets for intervention and treatment.",covidqa
How were the swabs analyzed?,The swabs obtained by research staff were analyzed using a commercially available multiplex reverse transcription polymerase chain reaction assay according to the manufacturer's instructions.,covidqa
"When did we discover that SARS-CoV-2, which causes COVID-19, was a novel coronavirus?","We discovered that SARS-CoV-2, which causes COVID-19, was a novel coronavirus on 12 January 2020.",covidqa
How was the ELISA assay validated?,"The ELISA assay was validated by testing it with different viral cultures and three chicken eggs inoculated with infected patient serum, demonstrating its sensitivity and ease of use, with potential for clinical use.",covidqa
For how many cases Fever reported as the sole symptom?,Fever was reported as the sole symptom in no cases within the provided context.,covidqa
How many cases had no pre-existing conditions?,"According to the passages, a total of nine cases had no reported pre-existing conditions.",covidqa
Are there any vaccines against to protect against respiratory viral infections?,"There are vaccines available for some respiratory viral infections, such as influenza, pneumococcal, pertussis, and measles. However, there are currently no authorized vaccines available for the prevention of emerging/re-emerging respiratory viral infections, aside from influenza virus. Clinical trials are ongoing to assess the safety and effectiveness of different vaccine candidates for respiratory syncytial virus (RSV).",covidqa
What  did the studies reveal regarding transmission from mothers during perinatal period?,"The studies revealed that transmission of the influenza virus from infants to mothers during the perinatal period led to severe disease, mammary gland infection, and pathogenesis by regulating host responses. The mothers of inoculated infants displayed clinical signs of influenza, including temperature increases, weight loss, and mortality. The virus transmission between adult ferrets was also confirmed. Furthermore, examination of viral titers in the lower respiratory tract of the mothers found virus levels above 6 TCID50/ml in both the trachea and lungs post-infant-inoculation in 2 out of 3 mothers investigated.",covidqa
What helpful drugs are available now to control the disease or to provide palliative care for influenza patients?,"Neuraminidase inhibitors such as oseltamivir and zanamivir, as well as M2 inhibitors like amantadine and rimantadine, are available drugs for the treatment and prevention of influenza. Additionally, monoclonal and polyclonal antibodies, convalescent plasma, and other immunomodulatory agents such as celecoxib and interferons are in development and showing potential benefit in treating severe influenza. Triple-combination antiviral drug therapy is also being investigated as a potential treatment option.",covidqa
What diminishes the effectiveness of annual influenza vaccinations?,"The repeated vaccination, potential vaccine interference, and changes in circulating virus strains can all diminish the effectiveness of annual influenza vaccinations.",covidqa
How does the transmission in Asia occur?,"The transmission in Asia occurs through large primate reservoirs, prevalent human-primate contact, and mucosal splashes with saliva from primates.",covidqa
What is summarized?,"The CDC's response to the COVID-19 pandemic, including the risk of exposure and updates as of March 21, 2020.",covidqa
What descendant  lineages of the swine flu (Spanish Influenza) virus were identified in 2006?,The passage does not provide information about descendant lineages of the swine flu (Spanish Influenza) virus identified in 2006.,covidqa
What did the searches yield?,"The searches yielded a revised index that can predict HFMD (Hand, Foot, and Mouth Disease) cases more reliably, as well as a revised search volume that was found to be more similar to real cases.",covidqa
What is needed to elucidate zoonotic emergence?,"To elucidate zoonotic emergence, a comprehensive understanding of infectious disease ecology, rebuilding public health infrastructure, and knowledge of the natural history and ecology of zoonotic organisms is required.",covidqa
What was the objective of the study?,"The objectives of the studies were to set healthcare priorities in hospitals, compare the effects of different objective functions in epidemic forecasting, quantify the efficacy of non-pharmaceutical interventions to prevent influenza transmission in households, and provide health authorities with evidence-based practical information to guide the development and delivery of key health messages for H1N1 and other health campaigns.",covidqa
How different is it from SARS-related viruses?,"Based on the information provided, the SARS-CoV-2 virus is said to be most similar to some bat beta-coronaviruses, with the highest being >96% identity. Additionally, it is mentioned that MERS and SARS have some clinical similarities but also diverge significantly, with defining characteristics including different clinical manifestations and characteristics of the viruses. Therefore, it can be concluded that the SARS-CoV-2 virus is different from SARS-related viruses, with some similarities but also significant differences in clinical manifestations and characteristics.",covidqa
How many extracellular domains are in the CEAMCAM1 protein?,The CEACAM1 protein consists of four extracellular domains in humans.,covidqa
